Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
CG Power and Industrial Solutions Ltd.,CGPOWER,Capital Goods,EQ,192,196.25,188.6,191.65,189.65,-2,-1.04,928649,178430618.9,219.65,71.7,-,5.33
Chalet Hotels Ltd.,CHALET,Consumer Services,EQ,314.8,331.8,310.05,314.65,327.15,12.5,3.97,866335,280848480.3,332.7,159.05,77.57,5.92
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,Chemicals,EQ,267.7,272.4,260.8,266.15,271.3,5.15,1.93,1548368,412593621,516,260.8,-13.19,-26.76
Chemplast Sanmar Ltd.,CHEMPLASTS,Chemicals,EQ,469.8,479,460.8,470.15,476.25,6.1,1.3,98313,46324102.47,826,382.7,-,-2.52
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,Financial Services,EQ,616.2,643.15,616.05,619.5,637.95,18.45,2.98,1694794,1067737168,768,469.25,20.7,-8.84
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,Financial Services,EQ,590.25,610.5,586.9,593.2,602.05,8.85,1.49,17853,10648243.32,762.3,564.05,-10.42,-4.58
Cipla Ltd.,CIPLA,Healthcare,EQ,911.2,956.05,911.2,917.2,948,30.8,3.36,1793834,1677593557,1083,850,-5.63,-7.63
Clean Science and Technology Ltd.,CLEAN,Chemicals,EQ,1486.95,1490,1456,1490.05,1458,-32.05,-2.15,77405,113280669.4,2705,1422.1,-,-14.79
Coal India Ltd.,COALINDIA,Oil Gas & Consumable Fuels,EQ,185,186.15,176.6,185.6,183.2,-2.4,-1.29,17248729,3132369186,209,132.75,26.56,-3.78
Cochin Shipyard Ltd.,COCHINSHIP,Capital Goods,EQ,310.9,313,307.15,311.7,312.85,1.15,0.37,34795,10809066.75,402.6,280.75,-19.08,-3.53
Coforge Ltd.,COFORGE,Information Technology,EQ,3538,3538,3419.9,3539.3,3495,-44.3,-1.25,536217,1852924654,6135,3218.1,-14.87,-9.52
Colgate Palmolive (India) Ltd.,COLPAL,Fast Moving Consumer Goods,EQ,1488.8,1520,1484.35,1486.85,1515.1,28.25,1.9,437561,661491593,1823.4,1375.6,-11.8,-8.63
Container Corporation of India Ltd.,CONCOR,Services,EQ,596.4,605,585.05,594.3,603.15,8.85,1.49,1065738,634167396.9,754.4,554,-14.9,-8.63
Coromandel International Ltd.,COROMANDEL,Chemicals,EQ,953,969.5,932.75,953.15,968.05,14.9,1.56,366177,349230328.4,983.95,709.35,5.8,0.87
CreditAccess Grameen Ltd.,CREDITACC,Financial Services,EQ,1012.95,1025,995.15,1015.8,1021.9,6.1,0.6,159386,160874665.2,1154,494.7,35.44,-5.2
CRISIL Ltd.,CRISIL,Financial Services,EQ,3281.2,3398,3264.1,3286.7,3269.7,-17,-0.52,42577,142348109.9,3863.55,2425.2,29.43,-3.52
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,Consumer Durables,EQ,339.95,351.1,337.1,340.15,349.8,9.65,2.84,517467,179317839.5,512.8,312,-21.73,-5.89
CSB Bank Ltd.,CSBBANK,Financial Services,EQ,194.5,195,190,193.1,191.6,-1.5,-0.78,198621,38345770.26,374,178,-44.38,2.2
City Union Bank Ltd.,CUB,Financial Services,EQ,133,137,130.95,133.05,134.55,1.5,1.13,1461281,195154077.6,183.95,109,-20.14,-5.03
Cummins India Ltd.,CUMMINSIND,Capital Goods,EQ,1016,1030.2,1014,1024.2,1030,5.8,0.57,149758,153313254.9,1162,821.6,13.86,-0.17
Cyient Ltd.,CYIENT,Information Technology,EQ,760.45,766.35,749.1,756.65,756.85,0.2,0.03,196910,149269594.6,1292,720,-11.98,-3.41
Dabur India Ltd.,DABUR,Fast Moving Consumer Goods,EQ,492.05,512.7,492.05,495.95,511.3,15.35,3.1,1704654,861071875,658.95,482.25,-12.8,-4.44
Dalmia Bharat Ltd.,DALBHARAT,Construction Materials,EQ,1280,1337.8,1272.5,1283.65,1326,42.35,3.3,197336,259368571.6,2548.4,1212.5,-32.12,-5.79
Dilip Buildcon Ltd.,DBL,Construction,EQ,190,190.75,187.45,190.4,189.75,-0.65,-0.34,231621,43871333.61,749.8,187.45,-66.8,-16.47
DCM Shriram Ltd.,DCMSHRIRAM,Diversified,EQ,941.5,954.35,936.1,944.45,947.8,3.35,0.35,26354,24980693.06,1263.85,855,3.56,-4.8
Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals,EQ,1741,1755.95,1681.15,1736.4,1726.2,-10.2,-0.59,894640,1526175322,3020,1681.15,-3.99,-13.05
Delta Corp Ltd.,DELTACORP,Consumer Services,EQ,167.05,174.55,166,166.45,172.45,6,3.6,10179569,1744370944,339.7,162.1,-6.09,-23.79
Devyani International Ltd.,DEVYANI,Consumer Services,EQ,156.35,159.7,152.7,155.35,158,2.65,1.71,1367282,214950403.2,198.9,107.55,-,-8.89
Dhani Services Ltd.,DHANI,Financial Services,EQ,37.6,37.6,34.2,35.85,35.3,-0.55,-1.53,20638577,751037817,242.9,28.5,-79.85,-28.44
